source_ID,source_content,target_ID,target_content,label
CCHIT1012,The system shall provide the ability to update the analysis-of-needs mechanism (based on immunizations missing or due next) on demand for reasons including but not limited to updates to external guidelines.,AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0870,The system shall provide the ability to display patient specific dosing recommendations based on age and weight.,UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0548,"When passwords are used, the system shall use either standards-based encryption, e.g., 3DES, AES, or standards-based hashing, e.g., SHA1 to store or transport passwords.",UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0265,The system shall provide the ability to send a query to other providers to share imaging results,TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0249,The system shall provide the ability to respond to a query to share imaging results with other providers,AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0020,"The system shall have the ability to provide access to standard care plan, protocol and guideline documents when requested at the time of the clinical encounter. These documents may reside within the system or be provided through links to external sources.",TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0707,"The system shall have the ability to clearly define one time medication orders within a single encounter that do not include a designated start date, stop date or time to be administered (i.e. unscheduled).   Medication needs to remain visible as an active order.",EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT0584,The HIE shall create an audit record of any password changes,UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0439,The system shall provide the ability for the creation of ad hoc beds and the management of patients in these temporary beds.,TED,Encryption and decryption. Implement a mechanism to encrypt and decrypt electronic protected health information.,0
CCHIT0175,The system shall provide the ability to identify the identity of the cosigning  author of a note and record the date and time of original author and identity of signature.,AL,Automatic logoff. Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,0
CCHIT0663,System shall provide the ability for the facility to make customizations to the knowledge base and such customizations will not be overwritten by future system upgrades,IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
CCHIT0931,The system shall provide the ability to Integrate with bar-code technology to capture information from linear bar code labels and wristbands,TED,Encryption and decryption. Implement a mechanism to encrypt and decrypt electronic protected health information.,0
CCHIT0913,"The system shall provide the ability to generate and Format Level 2 CCD documents with narrative sections, conforming to the HITSP C32 specification of the Registration subset",IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
CCHIT0020,"The system shall have the ability to provide access to standard care plan, protocol and guideline documents when requested at the time of the clinical encounter. These documents may reside within the system or be provided through links to external sources.",AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0609,"The HIE SHALL have the ability to Respond to a request for a prescription change from a pharmacy using NCPDP Script 8.1 (RXCHG, CHGRES)",SED,Encryption. Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,0
CCHIT0804,"The system shall provide the ability to capture and explicitly label patient-originated data, including date and time of capture.",AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0262,The system shall provide the ability to send a query for medication history to PBM or pharmacy to capture and display medication list from the EHR,UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0960,"The system shall provide the ability to receive Patient Demographics and Administrative Information from inpatient IT systems (e.g., name, age, DOB, gender)",PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0155,"The system shall provide the ability to generate and format CCD documents with narrative sections and structured entries (discrete fields) as specified by the HITSP IS03/C32 specification of the Medication and Immunization History module subset.  For 2008, the values within the structured entries do not have to use industry standard vocabularies/terminologies (such as RxNorm or SNOMED-CT)",TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0264,The system shall provide the ability to send a query to check status of a test order,AL,Automatic logoff. Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,0
CCHIT0357,"If role-based access control (RBAC) is supported, the system shall be able to provide role based access control that is in compliance with the HL7 Permissions Catalog.",AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0110,The system shall provide the ability to display all current problems associated with a patient.,SED,Encryption. Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,0
CCHIT0331,"The system will provide the ability to emergently and immediately transmit (email or fax) specific patient data, reports, and accurate, non-distorted images to alternate providers/facilities.",PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0302,"When access to a chart is restricted and the break the glass has occurred, the system shall provide the ability to audit this override.",PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0864,The system shall provide the ability to display from the eMAR where the clinician can locate the medication on the unit.,AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0523,The system shall store and retrieve demographic information as discrete data.,AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0081,The system shall provide the ability to capture structured data in the patient history.,PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0305,"I. The system shall provide the ability to capture the following data elements for a Stress Test as discrete data: 1) Date of study  2) Test type  - list to include at least: Exercise treadmill, Exercise echo, Dobutamine echo, Exercise nuclear, Adenosine nuclear, Dobutamine nuclear, Dipyridamole nuclear, Adenosine MRI, Dobutamine MRI, Adenosine PET/CT, Dipyridamole PET/CT  3) CPT coded test type  4) Result: normal, abnormal, indeterminate",UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0750,"The system shall provide the ability for a user to explicitly capture and maintain, as discrete data, that the allergy list was reviewed.  The user ID and date/time stamp shall be recorded when the allergies reviewed option is selected.",AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0766,The system shall provide the ability for the electronic medication administration record to be printed.,AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0437,The system shall provide the ability for each facility to establish and modify basic decision support rules to alert ED team members of completion of patient tasks or results.,TED,Encryption and decryption. Implement a mechanism to encrypt and decrypt electronic protected health information.,0
CCHIT0765,The system shall provide the ability for the clinician to see at the time of medication administration that an alert was triggered,AL,Automatic logoff. Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,0
CCHIT0877,"The system shall provide the ability to display the allergy history, including date and time of entry.",SED,Encryption. Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,0
CCHIT0874,The system shall provide the ability to display recommended medication for substitution (based on cost or clinical policy).,TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0107,The system shall provide the ability to designate a task as completed.,EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT0977,The system shall provide the ability to search all patient records and identify individual patients with specific problems / diagnoses.,PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0014,The system shall ensure secure electronic messaging with patients,AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0241,The system shall provide the ability to record the user ID and date of all updates to the problem list.,UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0549,"When passwords are used, user accounts that have been reset by an administrator shall require the user to change the password at next successful logon.",AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0630,The HIE shall provide a means to establish an effective date and an expiration date for a system's authorization to access information through the HIE.,AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,1
CCHIT0904,The system shall provide the ability to establish time periods for order expiration for types of orders.,EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT0443,"The system shall provide the ability to access, view and print patient data from previous admissions by document type and reason for access.",PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0499,The system shall provide the ability to prescribe a medication despite alerts for interactions and/or allergies being present.,UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0637,"The HIE shall support the ability of consumers to request and receive access and disclosure  reports which identify HIE users who have viewed , updated, or exchanged, or accessed their clinical data",SED,Encryption. Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,0
CCHIT0434,The system SHALL provide end-users the ability to search for medications by generic or brand name.,TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0458,The system shall provide the ability to display and manage a log of providers including when and who cared for the patient in the emergency department.,UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT1037,"The system shall provide the hospital with the ability to capture medication identification for five rights checking, at a minimum, from linear bar code labels encoding the NDC number.",AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0430,The system shall provide an alert to the ordering physician when radiologic results are available that were pending at the time of patient discharge.,UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0912,"The system shall provide the ability to generate and format Level 2 CCD documents with narrative sections, conforming to the HITSP C32 specification for Medication and Immunization History information module",EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT0529,The system shall support logging to a common audit engine using the schema and transports specified in the Audit Log specification of IHE Audit Trails and Node Authentication (ATNA) Profile.,TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0543,"When passwords are used, the system shall not display passwords while being entered.",AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0556,"Every transaction that  requests or contains protected health information,  and  is imputed directly to a specific user shall contain an unambiguous ID of the user and any organization IDs that are necessary to ensure that the combination of the IDs identifies a unique user within an HIE",IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
CCHIT0859,"The system shall provide the ability to display CCD documents, using a subset of the HITSP C32 specification for the Registration module, and file them as intact documents in the EHR",SED,Encryption. Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,0
CCHIT0676,"The system provides the capability for timely notification to those ordering, dispensing, and/or administering medications of any manufacturer or FDA recall or discontinuance.",AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0675,The system must create an accurate medication history and a current list of medications (also known as a drug profile).  This includes all medications ordered during the patient's current episode of care.,UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0012,The system shall display and provide the ability for patients to electronically sign consent forms using currently available digital signature standards.  Electronically signed consent forms shall be maintained within the patient medical record.,SED,Encryption. Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,0
CCHIT0202,"The system shall provide the ability to modify site-specific standard care plan, protocol, and guideline documents obtained from outside sources.",EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT0659,System shall allow/provide for ability for facility to review embedded drug information resources and to determine which specific alerting rules to implement,AL,Automatic logoff. Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,0
CCHIT0124,"The system shall provide the ability to display numerical results in flow sheets and graphical form in order to compare results, and shall provide the ability to display values graphed over time.",AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0642,"At admission and discharge from the hospital, the system shall provide the ability to permit the clinician to designate which home medications are being continued / discontinued.",AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0184,The system shall provide the ability to indicate when advance directives were last reviewed.,IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
CCHIT0746,"The system shall provide the ability  in dosage fields in medication orders: to spell out the word UNITS, use the words Thousands and Millions as part of expressing large doses and allow the use of commas in doses expressed in thousands.",SED,Encryption. Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,0
CCHIT0392,"The system shall display, upon request, lab results received through an electronic interface.",TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0909,"The system shall provide the ability to generate and format a valid HITSP C32 document containing subsets for the Medication and Immunization History  module with C32 declared templates and full Level 3 structured entries (discrete fields, not just narrative text) per HITSP C32 standards",PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0988,The system shall provide the ability to send text or coded allergy information with new electronic prescriptions via NCPDP Script 8.1 (NEWRX) using the free text field of the message drug segment (DRU 090).,EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT0603,The HIE SHALL have the ability to perform the roles of Sender and Receiver of HL7 CDAr2 encounter documents as documented in the HITSP Component 48 Encounter Document.,AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0784,The system shall provide the ability to access potential side effects of medications from the eMAR.,IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
CCHIT0780,The system shall provide the ability to access bed assignment information including temporary bed assignment.,TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0964,"The system shall provide the ability to receive the Current Medication List from Pharmacy (directly), PBM (directly) or via intermediary network (e.g. SureScripts, RxHub, etc.)",TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0373,"The system shall be able to support time synchronization using NTP/SNTP, and use this synchronized time in all security records of time.",AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0044,The system shall provide the ability for multiple users to interact concurrently with the EHR application.,AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0548,"When passwords are used, the system shall use either standards-based encryption, e.g., 3DES, AES, or standards-based hashing, e.g., SHA1 to store or transport passwords.",TED,Encryption and decryption. Implement a mechanism to encrypt and decrypt electronic protected health information.,0
CCHIT0986,"The system shall provide the ability to send Non-Medication Orders and Updates to receiving system (e.g., LIS, RIS, Dietary)",UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0235,"The system shall provide the ability to record the chronicity (chronic, acute/self-limiting, etc.) of a problem.",EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT0762,The system shall provide the ability for report generation capabilities to review override data.,EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT0461,The system shall provide the ability to display patients waiting to be triaged.,AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0424,The system shall provide a means to manage discharge instructions.,EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT1025,The system shall provide the ability to view the electronic medication administration record without interrupting the ordering process.,AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0998,The system shall provide the ability to specify the current and previous Responsible Physicians.,PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0294,The system shall provide the ability to update the clinical content or rules utilized to generate clinical decision support reminders and alerts.,AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0337,"The system shall capture patient growth parameters: including weight, height or length, head circumference and vital signs including:  blood pressure, temperature, heart rate, respiratory rate, and severity of pain as discrete elements of structured data.",AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT1059,"When allergies are Unknown or Unable to Assess Allergies, the system shall provide the ability to inform the clinician for the need of an update.",AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
